üniversite_adı,ülke,öğretim,uluslararası,araştırma,atıflar,gelir,toplam_puan,öğrenci_sayısı,öğrenci_personel_oranı,uluslararası_öğrenciler,yıl,kadın_oranı,erkek_oranı
Bar-Ilan University,Israel,27.9,47.0,32.2,15.7,28.5,59.88001693480102,17503,16.0,0.05,2012,0.59,0.41
"Binghamton University, State University of New York",United States of America,18.7,30.8,20.3,46.2,29.5,59.88001693480102,15799,23.3,0.14,2012,0.48,0.52
Boğaziçi University,Turkey,24.5,36.2,19.7,45.7,34.7,59.88001693480102,11506,25.0,0.07,2012,0.5,0.5
Charles Darwin University,Australia,16.4,46.7,19.4,52.6,31.3,59.88001693480102,5570,25.4,0.15,2012,0.67,0.33
Charles University in Prague,Czech Republic,32.3,51.4,24.6,31.0,24.5,59.88001693480102,51438,13.0,0.15,2012,0.62,0.38
George Mason University,United States of America,29.3,23.8,17.7,42.6,25.1,59.88001693480102,26622,17.0,0.07,2012,0.54,0.46
Indian Institute of Technology Bombay,India,43.8,14.3,15.7,38.8,24.2,59.88001693480102,8327,14.9,0.01,2012,0.16,0.84
Jagiellonian University,Poland,25.1,39.5,16.0,43.1,25.8,59.88001693480102,42835,11.5,0.05,2012,0.67,0.33
Keele University,United Kingdom,18.0,62.6,18.1,39.8,28.1,59.88001693480102,8397,15.7,0.2,2012,0.55,0.45
Keio University,Japan,32.3,18.3,21.9,26.1,40.0,59.88001693480102,33751,11.9,0.05,2012,0.32,0.68
Kent State University,United States of America,15.9,26.9,13.9,58.3,24.6,59.88001693480102,23122,19.0,0.08,2012,0.58,0.42
Lehigh University,United States of America,20.2,26.5,18.1,44.9,38.6,59.88001693480102,6300,11.3,0.15,2012,0.44,0.56
Linköping University,Sweden,19.6,48.6,18.9,42.8,31.8,59.88001693480102,17866,7.7,0.1,2012,0.52,0.48
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,24.3,15.6,37.0,19.4,42.9,59.88001693480102,7446,17.4,0.11,2012,0.34,0.66
Plymouth University,United Kingdom,12.9,49.0,13.7,58.1,25.8,59.88001693480102,24121,25.9,0.13,2012,0.52,0.48
Polytechnic University of Milan,Italy,24.1,33.6,17.6,33.9,69.8,59.88001693480102,30025,22.2,0.12,2012,0.34,0.66
Sapienza University of Rome,Italy,29.6,32.4,27.2,29.2,32.8,59.88001693480102,120986,32.3,0.07,2012,0.59,0.41
Shanghai Jiao Tong University,China,39.4,20.5,29.7,19.1,85.2,59.88001693480102,38191,12.8,0.06,2012,0.37,0.63
Sharif University of Technology,Iran,28.5,12.7,29.7,19.3,93.1,59.88001693480102,10977,18.7,0.0,2012,0.27,0.73
Sungkyunkwan University (SKKU),South Korea,31.4,26.6,32.1,23.9,99.4,59.88001693480102,24365,20.3,0.09,2012,0.39,0.61
University College Cork,Republic of Ireland,20.6,77.0,19.2,29.4,36.8,59.88001693480102,15805,22.3,0.15,2012,0.55,0.45
University of Aveiro,Portugal,17.0,48.4,15.9,40.9,34.7,59.88001693480102,10791,17.8,0.1,2012,0.51,0.49
University of Canterbury,New Zealand,17.3,76.3,24.3,30.5,26.6,59.88001693480102,12187,16.5,0.2,2012,0.51,0.49
University of Eastern Finland,Finland,23.2,33.5,16.1,51.1,30.2,59.88001693480102,10798,17.3,0.06,2012,0.64,0.36
University of Ferrara,Italy,15.8,37.1,14.1,59.3,34.3,59.88001693480102,18882,30.2,0.07,2012,0.56,0.44
University of Hertfordshire,United Kingdom,12.2,76.5,7.7,55.5,27.1,59.88001693480102,19665,19.4,0.27,2012,0.54,0.46
University of Houston,United States of America,36.5,27.7,23.6,23.6,31.2,59.88001693480102,40325,43.7,0.09,2012,0.5,0.5
University of Hull,United Kingdom,14.5,66.2,16.7,40.2,28.1,59.88001693480102,15141,18.7,0.2,2012,0.52,0.48
University of Liège,Belgium,23.5,68.7,16.4,38.9,64.8,59.88001693480102,20951,25.9,0.23,2012,0.54,0.46
University of Manitoba,Canada,29.5,40.2,31.7,27.7,40.7,59.88001693480102,28576,27.8,0.11,2012,0.55,0.45
"University of Maryland, Baltimore County",United States of America,17.6,18.6,14.5,52.8,29.9,59.88001693480102,13908,18.1,0.07,2012,0.46,0.54
University of Modena and Reggio Emilia,Italy,14.5,26.8,15.7,50.8,27.9,59.88001693480102,19693,25.3,0.06,2012,0.54,0.46
University of Pisa,Italy,18.3,26.2,18.5,50.8,35.3,59.88001693480102,47247,18.0,0.04,2012,0.52,0.48
University of Porto,Portugal,17.7,42.0,13.0,43.9,33.7,59.88001693480102,32720,18.8,0.09,2012,0.54,0.46
University of South Florida,United States of America,22.1,15.0,30.1,36.6,94.4,59.88001693480102,31424,21.5,0.1,2012,0.5,0.5
University of Stirling,United Kingdom,18.2,69.5,22.2,42.0,26.6,59.88001693480102,7828,15.9,0.22,2012,0.61,0.39
University of Surrey,United Kingdom,32.6,81.5,25.2,12.4,46.9,59.88001693480102,12063,16.6,0.38,2012,0.55,0.45
University of Tampere,Finland,22.5,38.3,22.1,44.4,55.1,59.88001693480102,10045,9.5,0.04,2012,0.66,0.34
University of Tasmania,Australia,18.5,70.5,15.0,34.9,42.1,59.88001693480102,18340,23.8,0.21,2012,0.57,0.43
University of Valencia,Spain,15.8,36.4,10.2,64.3,32.1,59.88001693480102,58413,15.4,0.09,2012,0.6,0.4
University of Waikato,New Zealand,13.3,87.0,13.9,47.8,24.5,59.88001693480102,10159,17.0,0.25,2012,0.57,0.43
University of Warsaw,Poland,21.6,35.8,15.7,44.3,49.032975986277876,59.88001693480102,49292,14.1,0.07,2012,0.67,0.33
Vienna University of Technology,Austria,26.3,82.5,14.1,24.3,35.2,59.88001693480102,26419,52.0,0.27,2012,0.27,0.73
Vrije Universiteit Brussel,Belgium,23.4,49.4,21.1,36.7,66.2,59.88001693480102,9020,17.1,0.16,2012,0.55,0.45
Washington State University,United States of America,28.8,31.0,24.5,33.5,34.3,59.88001693480102,24550,18.3,0.07,2012,0.5,0.5
Zhejiang University,China,38.8,13.9,27.2,23.0,84.4,59.88001693480102,47508,15.9,0.05,2012,0.41,0.59
Auburn University,United States of America,33.7,22.5,18.7,10.3,47.3,59.88001693480102,22386,17.6,0.04,2012,0.51,0.49
Clemson University,United States of America,20.8,28.5,17.0,25.5,30.8,59.88001693480102,19198,17.1,0.08,2012,0.46,0.54
Curtin University,Australia,17.1,91.4,12.3,28.7,31.3,59.88001693480102,30333,17.1,0.38,2012,0.53,0.47
Deakin University,Australia,17.7,56.3,16.8,26.2,27.9,59.88001693480102,32713,30.4,0.17,2012,0.6,0.4
Flinders University,Australia,18.2,59.9,19.1,20.3,36.2,59.88001693480102,15655,22.6,0.15,2012,0.63,0.37
Georgia State University,United States of America,19.6,27.9,20.2,34.4,39.1,59.88001693480102,28534,20.4,0.05,2012,0.59,0.41
Griffith University,Australia,15.7,79.0,16.2,20.3,30.7,59.88001693480102,30251,22.0,0.21,2012,0.5,0.5
Harbin Institute of Technology,China,29.0,21.0,12.5,21.0,97.2,59.88001693480102,31658,10.8,0.07,2012,0.29,0.71
Heriot-Watt University,United Kingdom,21.5,82.6,16.2,18.8,41.1,59.88001693480102,8773,17.8,0.43,2012,0.41,0.59
Hiroshima University,Japan,27.7,18.8,16.3,20.1,39.4,59.88001693480102,14686,8.2,0.05,2012,0.36,0.64
Kansas State University,United States of America,20.9,23.6,13.8,33.9,36.0,59.88001693480102,21379,15.1,0.1,2012,0.5,0.5
Kobe University,Japan,28.3,18.1,15.5,24.3,33.5,59.88001693480102,15885,8.4,0.06,2012,0.33,0.67
Kyung Hee University,South Korea,37.1,31.4,17.9,6.6,79.9,59.88001693480102,24356,17.4,0.14,2012,0.5,0.5
La Trobe University,Australia,19.0,71.3,19.5,13.6,28.9,59.88001693480102,22037,29.0,0.27,2012,0.63,0.37
Leibniz University of Hanover,Germany,28.2,51.4,15.9,21.7,38.9,59.88001693480102,22401,62.7,0.12,2012,0.41,0.59
Liverpool John Moores University,United Kingdom,12.3,52.6,9.3,48.4,26.9,59.88001693480102,18513,19.8,0.13,2012,0.52,0.48
Loughborough University,United Kingdom,27.9,66.7,25.7,9.2,39.4,59.88001693480102,13951,15.9,0.22,2012,0.38,0.62
Mahidol University,Thailand,29.9,45.0,14.7,20.9,29.0,59.88001693480102,27402,7.5,0.03,2012,0.63,0.37
Massey University,New Zealand,17.4,77.8,17.2,24.5,49.032975986277876,59.88001693480102,19101,16.8,0.15,2012,0.62,0.38
National Central University,Taiwan,24.7,22.2,21.4,27.1,78.6,59.88001693480102,10915,9.8,0.06,2012,0.31,0.69
National Taiwan Ocean University,Taiwan,12.5,14.3,19.7,31.0,68.0,59.88001693480102,8240,20.9,0.05,2012,0.3,0.7
"National University of Ireland, Galway",Republic of Ireland,17.9,72.6,12.2,31.3,32.7,59.88001693480102,14067,26.8,0.14,2012,0.56,0.44
"National University of Ireland, Maynooth",Republic of Ireland,22.9,74.8,18.6,22.1,27.1,59.88001693480102,7653,28.0,0.11,2012,0.55,0.45
New Jersey Institute of Technology,United States of America,17.1,41.3,14.5,26.4,37.5,59.88001693480102,10646,26.2,0.17,2012,0.25,0.75
New University of Lisbon,Portugal,18.0,48.3,10.9,28.3,38.3,59.88001693480102,18867,17.9,0.07,2012,0.49,0.51
Polytechnic University of Catalonia,Spain,23.0,42.0,12.5,23.3,44.6,59.88001693480102,22893,11.7,0.28,2012,0.12,0.88
Polytechnic University of Turin,Italy,19.3,32.4,12.1,29.1,67.6,59.88001693480102,27709,19.6,0.16,2012,0.29,0.71
Polytechnic University of Valencia,Spain,19.6,23.6,9.8,45.3,36.6,59.88001693480102,33172,13.6,0.07,2012,0.36,0.64
Pontifical Catholic University of Chile,Chile,17.1,45.5,16.3,30.1,29.7,59.88001693480102,25075,15.3,0.07,2012,0.5,0.5
Saint Petersburg State University,Russian Federation,37.6,38.1,19.7,3.1,26.0,59.88001693480102,20836,5.2,0.07,2012,0.6,0.4
Swansea University,United Kingdom,17.6,63.3,18.1,25.6,28.8,59.88001693480102,12801,17.1,0.2,2012,0.49,0.51
Swinburne University of Technology,Australia,15.5,64.6,11.3,35.6,40.3,59.88001693480102,20314,36.5,0.33,2012,0.44,0.56
Tokyo University of Agriculture and Technology,Japan,26.5,18.0,15.8,21.7,41.5,59.88001693480102,5865,14.4,0.05,2012,0.27,0.73
University of Bari Aldo Moro,Italy,23.1,30.5,17.4,35.1,30.6,59.88001693480102,51560,65.1,0.02,2012,0.65,0.35
University of Coimbra,Portugal,20.6,55.8,11.6,27.4,29.4,59.88001693480102,22795,19.0,0.11,2012,0.55,0.45
University of Idaho,United States of America,29.4,27.4,16.2,24.0,25.5,59.88001693480102,11641,21.5,0.06,2012,0.47,0.53
University of Kent,United Kingdom,15.6,82.5,18.5,19.1,26.5,59.88001693480102,17638,14.4,0.27,2012,0.53,0.47
University of Paris North – Paris 13,France,13.4,59.9,11.8,39.4,24.2,59.88001693480102,23026,23.4,0.22,2012,0.6,0.4
University of Salento,Italy,26.5,24.4,19.1,27.2,73.1,59.88001693480102,19959,58.4,0.01,2012,0.64,0.36
University of South Australia,Australia,20.6,81.8,18.0,19.4,87.7,59.88001693480102,18971,26.2,0.32,2012,0.59,0.41
University of Strathclyde,United Kingdom,24.4,63.0,17.7,19.3,33.1,59.88001693480102,15705,20.2,0.2,2012,0.5,0.5
University of Tartu,Estonia,17.8,42.0,17.8,34.4,26.3,59.88001693480102,10269,13.0,0.03,2012,0.66,0.34
University of Turku,Finland,20.4,41.4,21.5,28.9,32.3,59.88001693480102,12326,14.6,0.05,2012,0.61,0.39
University of Zaragoza,Spain,14.5,28.8,9.3,38.4,42.9,59.88001693480102,31046,11.8,0.05,2012,0.55,0.45
Waseda University,Japan,25.4,27.1,17.3,29.7,27.3,59.88001693480102,52316,16.9,0.08,2012,0.35,0.65
Wuhan University,China,31.3,21.7,12.9,25.3,66.7,59.88001693480102,46227,14.4,0.07,2012,0.5,0.5
Yuan Ze University,Taiwan,10.8,12.8,9.6,58.3,29.2,59.88001693480102,8663,20.6,0.04,2012,0.43,0.57
California Institute of Technology,United States of America,96.3,59.8,99.4,99.7,95.6,95.5,2243,6.9,0.27,2013,0.33,0.67
Stanford University,United States of America,95.0,56.6,98.8,99.3,62.4,93.7,15596,7.8,0.22,2013,0.42,0.58
University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,93.7,19919,11.6,0.34,2013,0.46,0.54
Harvard University,United States of America,94.9,63.7,98.6,99.2,39.9,93.6,20152,8.9,0.25,2013,0.5,0.5
Massachusetts Institute of Technology,United States of America,92.9,81.6,89.2,99.9,92.9,93.1,11074,9.0,0.33,2013,0.37,0.63
Princeton University,United States of America,89.5,54.5,99.4,99.8,79.5,92.7,7929,8.4,0.27,2013,0.45,0.55
University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,92.6,18812,11.8,0.34,2013,0.46,0.54
Imperial College London,United Kingdom,88.0,91.4,90.9,93.0,87.5,90.6,15060,11.7,0.51,2013,0.37,0.63
"University of California, Berkeley",United States of America,85.1,49.7,99.3,99.3,65.4,90.5,36186,16.4,0.15,2013,0.5,0.5
University of Chicago,United States of America,89.6,55.3,92.9,98.7,49.032975986277876,90.4,14221,6.9,0.21,2013,0.42,0.58
Yale University,United States of America,93.2,54.7,92.5,94.8,38.2,89.2,11751,4.4,0.2,2013,0.5,0.5
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,49.032975986277876,87.8,18178,14.7,0.37,2013,0.31,0.69
"University of California, Los Angeles",United States of America,87.3,42.3,93.8,95.9,49.032975986277876,87.7,38206,10.3,0.15,2013,0.52,0.48
Columbia University,United States of America,89.7,66.1,82.0,96.1,49.032975986277876,87.0,25055,5.9,0.28,2013,0.5,0.5
University of Pennsylvania,United States of America,90.0,38.1,89.4,96.2,43.7,86.6,20376,6.5,0.2,2013,0.51,0.49
Johns Hopkins University,United States of America,81.8,57.3,85.5,95.3,100.0,85.6,15128,3.6,0.23,2013,0.5,0.5
University College London,United Kingdom,83.5,89.0,88.8,86.8,45.1,85.5,26607,10.7,0.46,2013,0.56,0.44
Cornell University,United States of America,77.0,53.8,92.1,91.8,39.5,83.3,21424,10.2,0.19,2013,0.48,0.52
Northwestern University,United States of America,77.6,33.8,87.3,98.2,64.4,83.1,18334,13.8,0.15,2013,0.48,0.52
University of Michigan,United States of America,76.1,47.6,91.4,91.6,53.9,82.6,41786,9.0,0.16,2013,0.48,0.52
University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,82.2,66198,19.5,0.15,2013,0.5,0.5
Carnegie Mellon University,United States of America,71.8,51.4,87.0,95.5,55.9,81.5,11885,13.1,0.35,2013,0.39,0.61
Duke University,United States of America,72.3,45.8,81.5,97.0,100.0,81.2,15172,4.8,0.17,2013,0.49,0.51
University of Washington,United States of America,74.7,39.1,81.3,97.0,41.3,79.9,44020,11.8,0.13,2013,0.53,0.47
Georgia Institute of Technology,United States of America,70.2,66.3,79.5,90.3,74.9,78.8,19967,20.1,0.26,2013,0.31,0.69
University of Texas at Austin,United States of America,75.5,42.1,80.7,91.0,57.9,78.8,49427,17.4,0.09,2013,0.51,0.49
University of Tokyo,Japan,87.9,27.6,89.9,71.3,59.0,78.3,26199,5.7,0.1,2013,0.5,0.5
University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,77.9,40128,23.7,0.35,2013,0.55,0.45
National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,77.5,31592,15.5,0.34,2013,0.49,0.51
University of British Columbia,Canada,69.1,82.1,80.4,84.0,42.4,77.3,50152,17.6,0.25,2013,0.54,0.46
University of Wisconsin-Madison,United States of America,76.1,29.8,80.1,88.2,54.8,76.9,39655,10.8,0.11,2013,0.51,0.49
University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,76.1,25774,14.1,0.36,2013,0.58,0.42
University of Illinois at Urbana-Champaign,United States of America,74.2,36.0,84.9,80.8,49.032975986277876,75.8,42727,18.7,0.2,2013,0.47,0.53
McGill University,Canada,74.4,75.9,80.4,75.2,40.3,75.7,31326,13.7,0.23,2013,0.56,0.44
"University of California, Santa Barbara",United States of America,56.1,58.3,73.5,99.4,100.0,75.6,22020,27.3,0.11,2013,0.52,0.48
University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,75.6,19835,17.6,0.38,2013,0.53,0.47
Australian National University,Australia,68.6,90.0,83.5,73.5,39.6,75.4,14604,19.2,0.35,2013,0.52,0.48
"University of California, San Diego",United States of America,63.4,34.2,79.0,96.2,43.9,75.2,27233,6.5,0.11,2013,0.48,0.52
École Polytechnique Fédérale de Lausanne,Switzerland,62.4,98.8,57.0,95.0,49.8,73.0,9666,10.5,0.54,2013,0.27,0.73
New York University,United States of America,73.8,38.7,67.4,89.2,29.5,72.8,42056,6.8,0.19,2013,0.55,0.45
Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,72.4,7774,11.5,0.22,2013,0.7,0.3
University of North Carolina at Chapel Hill,United States of America,70.4,32.9,69.3,90.1,40.0,72.4,26518,7.3,0.08,2013,0.58,0.42
"University of California, Davis",United States of America,67.9,51.7,71.6,82.7,52.5,71.8,35364,13.9,0.13,2013,0.54,0.46
Washington University in St Louis,United States of America,66.0,44.3,62.8,95.2,49.032975986277876,71.8,12528,5.7,0.17,2013,0.5,0.5
Peking University,China,81.5,54.1,67.9,64.3,99.9,70.7,40148,8.3,0.14,2013,0.5,0.5
University of Minnesota,United States of America,66.1,28.7,74.0,84.7,49.032975986277876,70.5,46825,18.0,0.13,2013,0.52,0.48
LMU Munich,Germany,65.4,54.7,66.5,85.5,42.0,70.4,35691,15.5,0.13,2013,0.62,0.38
University of Manchester,United Kingdom,65.9,77.9,67.7,76.9,43.2,70.1,34938,15.3,0.34,2013,0.52,0.48
Pohang University of Science and Technology,South Korea,63.9,28.8,63.9,88.2,100.0,69.4,3055,10.1,0.04,2013,0.2,0.8
Brown University,United States of America,63.7,36.9,60.3,94.1,29.9,68.9,8653,10.1,0.19,2013,0.5,0.5
Tsinghua University,China,74.5,37.2,76.4,55.2,99.2,67.1,39763,13.7,0.1,2013,0.32,0.68
Ohio State University,United States of America,66.7,46.3,60.9,80.1,49.5,67.0,51462,13.4,0.12,2013,0.49,0.51
Boston University,United States of America,65.4,39.2,50.9,94.2,30.6,66.8,24789,8.6,0.17,2013,0.58,0.42
Kyoto University,Japan,77.1,26.3,74.8,57.8,76.4,66.8,22809,5.6,0.07,2013,0.5,0.5
University of Southern California,United States of America,68.4,43.4,57.1,81.9,33.5,66.3,36534,12.9,0.2,2013,0.52,0.48
King’s College London,United Kingdom,53.5,86.0,59.3,82.8,42.4,66.2,21394,11.4,0.37,2013,0.61,0.39
KU Leuven,Belgium,59.7,56.6,71.0,67.2,99.7,66.1,42503,41.9,0.18,2013,0.54,0.46
Seoul National University,South Korea,76.7,27.0,81.4,48.0,81.7,65.9,26389,13.9,0.1,2013,0.5,0.5
École Normale Supérieure,France,61.6,67.3,46.9,90.3,47.2,65.9,2400,7.9,0.2,2013,0.46,0.54
Pennsylvania State University,United States of America,55.0,34.9,69.2,81.4,59.7,65.8,44501,12.4,0.12,2013,0.46,0.54
University of Sydney,Australia,59.5,83.0,70.1,62.9,69.2,65.7,41868,20.2,0.28,2013,0.57,0.43
École Polytechnique,France,56.5,83.0,54.7,80.7,75.8,65.7,2429,4.8,0.3,2013,0.18,0.82
Leiden University,Netherlands,54.0,54.8,67.1,78.4,46.1,65.1,21222,17.1,0.1,2013,0.59,0.41
Hong Kong University of Science and Technology,Hong Kong,56.9,78.1,64.6,68.9,55.6,64.4,11385,23.8,0.36,2013,0.5,0.5
The University of Queensland,Australia,54.4,77.8,66.1,69.6,64.0,64.4,34718,32.7,0.27,2013,0.53,0.47
Utrecht University,Netherlands,48.0,47.3,64.7,82.4,82.6,64.1,30779,15.4,0.07,2013,0.59,0.41
Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.9,31.1,68.9,58.4,100.0,64.0,9027,10.0,0.09,2013,0.2,0.8
Purdue University,United States of America,59.8,54.8,71.9,63.1,49.032975986277876,63.8,39256,18.1,0.22,2013,0.42,0.58
University of Göttingen,Germany,50.0,51.0,52.5,92.5,34.4,63.2,25581,25.6,0.12,2013,0.51,0.49
Wageningen University and Research Center,Netherlands,54.9,79.2,53.7,73.8,100.0,63.2,9248,17.0,0.21,2013,0.56,0.44
Erasmus University Rotterdam,Netherlands,44.5,62.8,64.1,80.2,62.0,62.9,20580,18.9,0.18,2013,0.48,0.52
University of Massachusetts,United States of America,57.1,31.7,62.6,77.8,52.8,62.9,56959,13.0,0.11,2013,0.49,0.51
University of Bristol,United Kingdom,50.1,71.9,51.7,85.4,38.7,62.5,17906,14.0,0.25,2013,0.53,0.47
Rice University,United States of America,49.5,59.0,39.3,100.0,36.5,62.0,6333,9.0,0.26,2013,0.44,0.56
University of Pittsburgh,United States of America,54.6,29.4,55.1,85.2,39.3,61.7,26485,5.8,0.1,2013,0.51,0.49
Delft University of Technology,Netherlands,59.9,67.7,75.1,45.1,99.9,61.6,15920,19.4,0.25,2013,0.26,0.74
Heidelberg University,Germany,61.4,61.3,49.0,75.5,40.7,61.4,28881,24.5,0.17,2013,0.55,0.45
Emory University,United States of America,56.7,36.6,44.4,90.9,38.3,61.3,12338,4.5,0.18,2013,0.56,0.44
Durham University,United Kingdom,42.3,77.7,44.5,93.3,34.3,60.7,15489,15.7,0.24,2013,0.54,0.46
Pierre and Marie Curie University,France,59.2,64.4,43.5,80.6,28.6,60.5,27862,8.7,0.18,2013,0.48,0.52
Lund University,Sweden,43.6,64.4,61.3,77.1,34.2,60.3,28251,11.5,0.15,2013,0.5,0.5
University of Amsterdam,Netherlands,45.6,57.0,61.3,75.1,49.0,60.1,24570,14.4,0.11,2013,0.53,0.47
University of Montreal,Canada,54.0,74.6,57.9,60.9,95.0,59.8,38264,20.3,0.25,2013,0.57,0.43
University of New South Wales,Australia,52.6,84.8,63.8,56.7,50.5,59.6,38309,25.9,0.33,2013,0.47,0.53
Nanyang Technological University,Singapore,45.7,90.5,66.9,54.5,99.5,59.4,25028,16.2,0.33,2013,0.48,0.52
Tufts University,United States of America,52.6,39.6,36.4,94.8,39.4,59.1,10410,10.0,0.14,2013,0.54,0.46
McMaster University,Canada,42.3,66.9,47.9,81.7,98.0,59.0,23823,19.3,0.15,2013,0.53,0.47
University of Groningen,Netherlands,43.8,49.8,61.0,71.6,85.2,58.8,24556,25.6,0.12,2013,0.52,0.48
University of Zurich,Switzerland,50.0,84.1,41.6,80.0,38.3,58.8,26583,6.5,0.19,2013,0.57,0.43
University of Colorado Boulder,United States of America,42.3,34.7,44.4,97.1,49.032975986277876,58.7,29325,16.1,0.08,2013,0.45,0.55
Paris-Sud University,France,48.0,63.9,45.9,82.9,28.4,58.6,27603,15.0,0.17,2013,0.5,0.5
Ghent University,Belgium,46.4,49.1,56.7,71.3,95.9,58.4,32166,34.1,0.09,2013,0.57,0.43
Michigan State University,United States of America,51.8,36.8,56.8,73.8,32.6,58.3,44750,15.7,0.15,2013,0.51,0.49
University of Notre Dame,United States of America,48.3,41.6,39.6,93.5,29.8,58.3,11829,13.8,0.1,2013,0.44,0.56
"University of California, Irvine",United States of America,44.0,35.2,47.2,90.3,42.1,58.2,26614,16.1,0.16,2013,0.52,0.48
"University of Maryland, College Park",United States of America,44.9,40.4,51.4,83.9,32.1,57.9,31331,8.4,0.09,2013,0.48,0.52
University of Arizona,United States of America,47.0,31.3,53.7,76.9,83.9,57.7,36429,12.7,0.08,2013,0.52,0.48
Humboldt University of Berlin,Germany,55.4,57.5,58.7,59.5,49.032975986277876,57.5,29987,52.5,0.16,2013,0.5,0.5
Monash University,Australia,47.8,66.4,60.6,60.9,70.0,57.5,50882,40.5,0.36,2013,0.56,0.44
"Rutgers, the State University of New Jersey",United States of America,50.9,27.9,61.3,69.5,35.8,57.5,37032,17.3,0.08,2013,0.51,0.49
University of Rochester,United States of America,46.0,45.9,37.8,92.3,39.6,57.2,9390,4.5,0.26,2013,0.49,0.51
Case Western Reserve University,United States of America,56.5,34.2,42.0,80.4,49.032975986277876,56.9,9259,6.4,0.17,2013,0.48,0.52
Technical University of Munich,Germany,51.2,61.5,42.4,76.5,49.7,56.8,35565,31.5,0.2,2013,0.33,0.67
Uppsala University,Sweden,48.6,56.3,63.9,58.2,44.1,56.6,25266,18.2,0.12,2013,0.57,0.43
Vanderbilt University,United States of America,51.5,27.5,40.9,85.0,53.0,56.6,12161,3.6,0.1,2013,0.52,0.48
University of St Andrews,United Kingdom,43.2,86.3,43.8,76.6,38.9,56.5,8338,12.7,0.47,2013,0.56,0.44
University of Helsinki,Finland,42.8,48.3,53.0,77.7,31.1,56.4,23505,15.1,0.06,2013,0.66,0.34
Trinity College Dublin,Republic of Ireland,41.9,84.5,33.5,88.1,32.8,56.2,15521,18.0,0.25,2013,0.57,0.43
University of Sheffield,United Kingdom,49.5,68.1,46.2,71.0,41.5,56.2,23311,15.5,0.31,2013,0.5,0.5
University of Sussex,United Kingdom,34.9,76.7,39.5,91.1,32.1,56.2,12001,17.4,0.35,2013,0.54,0.46
University of Cape Town,South Africa,34.7,75.1,45.5,79.7,87.3,55.8,20040,12.1,0.18,2013,0.53,0.47
Eindhoven University of Technology,Netherlands,44.1,69.8,51.8,63.8,100.0,55.6,8176,16.0,0.14,2013,0.19,0.81
Maastricht University,Netherlands,39.7,85.2,53.2,62.5,99.1,55.5,15626,18.9,0.48,2013,0.56,0.44
Aarhus University,Denmark,35.7,66.4,54.6,71.6,69.7,55.3,23895,13.6,0.14,2013,0.54,0.46
Stockholm University,Sweden,31.3,52.2,43.8,93.0,32.0,55.2,31715,23.7,0.08,2013,0.62,0.38
University of Virginia,United States of America,55.9,27.9,43.0,73.5,48.6,55.0,23845,10.2,0.12,2013,0.52,0.48
"Royal Holloway, University of London",United Kingdom,30.5,92.5,27.7,99.0,31.9,54.9,8747,15.9,0.37,2013,0.57,0.43
University of Nottingham,United Kingdom,48.1,70.1,50.8,62.8,38.3,54.8,30144,15.0,0.27,2013,0.54,0.46
University of Alberta,Canada,50.9,67.6,53.9,56.6,50.6,54.7,36299,21.6,0.23,2013,0.55,0.45
"University of California, Santa Cruz",United States of America,32.1,32.5,39.6,99.9,49.032975986277876,54.5,17404,22.7,0.01,2013,0.53,0.47
University of Florida,United States of America,52.0,31.2,62.9,56.0,49.032975986277876,54.5,50095,18.7,0.09,2013,0.54,0.46
Chinese University of Hong Kong,Hong Kong,53.7,62.6,63.1,45.1,44.5,54.4,17916,10.2,0.22,2013,0.53,0.47
Dartmouth College,United States of America,47.5,31.5,35.9,87.0,38.6,54.4,6178,6.6,0.16,2013,0.47,0.53
University of Warwick,United Kingdom,48.9,80.9,50.5,58.8,35.3,54.4,18529,16.6,0.37,2013,0.48,0.52
Radboud University Nijmegen,Netherlands,35.7,53.4,54.3,73.3,41.7,54.0,17713,13.0,0.1,2013,0.58,0.42
Free University of Berlin,Germany,53.1,60.9,56.5,51.5,32.8,53.7,33062,39.3,0.2,2013,0.58,0.42
Tokyo Institute of Technology,Japan,58.0,29.6,56.1,52.0,65.3,53.7,9586,7.3,0.13,2013,0.13,0.87
University of Copenhagen,Denmark,42.2,73.5,40.4,74.3,39.7,53.6,27545,4.1,0.19,2013,0.67,0.33
University of Lausanne,Switzerland,33.0,82.7,44.8,76.2,45.8,53.6,11964,13.1,0.22,2013,0.5,0.5
University of Southampton,United Kingdom,37.9,77.4,38.9,79.2,41.8,53.6,20925,13.5,0.29,2013,0.53,0.47
University of Geneva,Switzerland,36.2,95.3,42.5,73.1,32.4,53.5,15668,15.0,0.39,2013,0.61,0.39
