üniversite_adı,ülke,öğretim,uluslararası,araştırma,atıflar,gelir,toplam_puan,öğrenci_sayısı,öğrenci_personel_oranı,uluslararası_öğrenciler,yıl,kadın_oranı,erkek_oranı
University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,56.5,79.2,19835,17.6,0.38,2011,0.53,0.47
University College London,United Kingdom,74.0,90.8,81.6,80.6,39.0,78.4,26607,10.7,0.46,2011,0.56,0.44
University of Washington,United States of America,68.2,49.0,77.1,95.9,32.8,78.0,44020,11.8,0.13,2011,0.53,0.47
Duke University,United States of America,66.8,49.4,71.5,92.3,100.0,76.5,15172,4.8,0.17,2011,0.49,0.51
Northwestern University,United States of America,64.5,60.5,68.8,95.3,49.032975986277876,75.9,18334,13.8,0.15,2011,0.48,0.52
University of Tokyo,Japan,87.7,18.4,91.9,58.1,49.032975986277876,75.6,26199,5.7,0.1,2011,0.5,0.5
Georgia Institute of Technology,United States of America,67.9,73.2,72.6,83.2,95.1,75.3,19967,20.1,0.26,2011,0.31,0.69
Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100.0,75.1,3055,10.1,0.04,2011,0.2,0.8
"University of California, Santa Barbara",United States of America,56.6,64.3,68.0,98.8,89.8,75.0,22020,27.3,0.11,2011,0.52,0.48
University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,73.8,50152,17.6,0.25,2011,0.54,0.46
University of North Carolina at Chapel Hill,United States of America,70.9,21.5,75.1,85.0,50.2,73.8,26518,7.3,0.08,2011,0.58,0.42
"University of California, San Diego",United States of America,59.8,31.6,76.3,90.8,51.8,73.2,27233,6.5,0.11,2011,0.48,0.52
University of Illinois at Urbana-Champaign,United States of America,68.1,55.9,80.9,72.9,49.032975986277876,73.0,42727,18.7,0.2,2011,0.47,0.53
National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,72.9,31592,15.5,0.34,2011,0.49,0.51
McGill University,Canada,69.0,85.9,74.9,69.0,49.032975986277876,71.7,31326,13.7,0.23,2011,0.56,0.44
University of Melbourne,Australia,58.7,88.0,69.2,83.3,47.7,71.0,40128,23.7,0.35,2011,0.55,0.45
Peking University,China,76.4,68.6,61.3,72.2,98.6,70.7,40148,8.3,0.14,2011,0.5,0.5
Washington University in St Louis,United States of America,58.9,56.4,63.0,88.6,49.032975986277876,69.9,12528,5.7,0.17,2011,0.5,0.5
École Polytechnique,France,57.9,77.9,56.1,91.4,49.032975986277876,69.5,2429,4.8,0.3,2011,0.18,0.82
University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,69.2,25774,14.1,0.36,2011,0.58,0.42
Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,69.0,11385,23.8,0.36,2011,0.5,0.5
École Normale Supérieure,France,66.8,44.9,48.2,95.7,30.7,68.6,2400,7.9,0.2,2011,0.46,0.54
Australian National University,Australia,51.9,93.9,62.4,81.0,49.032975986277876,67.0,14604,19.2,0.35,2011,0.52,0.48
Karolinska Institute,Sweden,65.8,52.17053006329113,72.7,62.3,73.3,67.0,7774,11.5,0.22,2011,0.7,0.3
